Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon
2019-04-18,Territorial sea,Portugal,Portugal - GAMA,2019/003102,Less Serious,40°9.28' N,8°55.85' W,,04:30,0.0,0.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Deck - Forecastle deck,Normal service - At anchor,0.0,0.0,Pilotage area,Anchored or alongside,,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Figueira da Foz,FRANCE - La Pallice,Damage / loss of equipment,,,No,40.154666666666664,-8.930833333333334
2020-07-05,High sea - Within EEZ,Portugal,Portugal - GAMA,2020/005885,Less Serious,40°24.3' N,9°15.3' W,Material damage - With operational consequences,00:13,0.0,0.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,No damage,No,No,No,Ship - Over side - Port - Above the waterline,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,PORTUGAL - Sines,PORTUGAL - Leixoes,Collision - With other ship,,,No,40.405,-9.255
2020-07-05,High sea - Within EEZ,Portugal,Portugal - GAMA,2020/005885,Less Serious,40°24.3' N,9°15.3' W,Material damage - With operational consequences,00:13,0.0,0.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Deck - Main deck,Normal service - In passage - Displacement mode,,,No routeing system,Mid-water,Unknown,,,Recreational craft - Sailboat (aux. motor),Unknown,PORTUGAL - Figueira da Foz,Collision - With other ship,,,No,40.405,-9.255
2025-08-29,Territorial sea,Portugal,Portugal - GAMA,2025/006583,Less Serious,38°37.42' N,9°38.6' W,No,09:00,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Lisboa,UNITED KINGDOM - Londonderry,Damage / loss of equipment,,,No,38.623666666666665,-9.643333333333333
2024-07-03,Territorial sea,Portugal,Portugal - GAMA,2024/002919,Very serious,39°49.39' N,9°1.3' W,No,04:07,6.0,9.0,,Finished,Yes,,0.0,Loss of ship - Actual loss,Yes,No,No,Ship - Unknown,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,Unknown,8799308.0,VIRGEM DOLOROSA,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,Capsizing/Listing - Capsizing,,,No,39.823166666666665,-9.021666666666667
2025-10-26,Territorial sea,Portugal,Portugal - GAMA,2025/008822,Marine incident,36°38' N,9°43' W,No,23:45,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Ship - Unknown,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Unknown,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,Unknown,Unknown,Damage / loss of equipment,,,No,36.63333333333333,-9.716666666666667
2023-02-20,Territorial sea,Portugal,Portugal - GAMA,2023/001922,Very serious,37°5.02' N,8°27.07' W,No,13:22,0.0,0.0,,Finished,Yes,Portugal - Portimão,0.0,Loss of ship - Constructive loss,Yes,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,SUPER MANGUITO,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Flooding/Foundering - Flooding - Progressive,,,Yes,37.083666666666666,-8.451166666666667
2018-10-23,Territorial sea,Portugal,Portugal - GAMA,2018/0001746,Serious,32°36.003' N,16°46.979' W,,13:23,0.0,0.0,,Not Investigated,Yes,Portugal - Funchal,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Arrival,No,,,Fishing vessel - Liner,PORTUGAL - Funchal; Madeira,PORTUGAL - Funchal; Madeira,Loss of control - Loss of propulsion power,,,No,32.60005,-16.782983333333334
2022-02-07,Territorial sea,Portugal,Portugal - GAMA,2022/008221,Serious,39°3.181' N,27°57.058' W,No,23:20,0.0,0.0,,Not Investigated,Yes,Portugal - Praia Vitória,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Ship - Hull - Under waterline,Normal service - In passage - Displacement mode,0.0,0.0,Pilotage area,Departure,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,PORTUGAL - Praia da Graciosa,PORTUGAL - Praia da Graciosa,Loss of control - Loss of directional control,,,No,39.053016666666664,-27.950966666666666
2022-02-07,Territorial sea,Portugal,Portugal - GAMA,2022/008221,Serious,39°3.181' N,27°57.058' W,No,23:20,0.0,0.0,,Not Investigated,Yes,Portugal - Praia Vitória,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Pilotage area,Departure,No,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,PORTUGAL - Praia da Graciosa,PORTUGAL - Praia da Graciosa,Loss of control - Loss of directional control,,,No,39.053016666666664,-27.950966666666666
2019-05-04,Territorial sea,Portugal,Portugal - GAMA,2019/005046,Less Serious,41°19.58' N,8°45.92' W,,17:00,0.0,1.0,,Not Investigated,Yes,Portugal - Póvoa Varzim,,,,No,No,Ship - Deck - Boat deck,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Leixoes,PORTUGAL - Leixoes,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,41.32633333333333,-8.765333333333333
2023-10-23,Territorial sea,Portugal,Portugal - GAMA,2023/005809,Marine incident,37°1.85' N,9°14.62' W,No,21:00,0.0,0.0,,Not Investigated,Yes,,0.0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Unknown,Transit,No,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,Unknown,Unknown,Loss of control - Loss of directional control,,,No,37.030833333333334,-9.243666666666666
2023-11-21,Territorial sea,Portugal,Portugal - GAMA,2023/005847,Marine incident,39°30' N,9°42.3' W,No,15:45,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Bridge - Other space,Normal service - In passage - Displacement mode,0.0,0.0,Area to be avoided,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Figueira da Foz,SPAIN - Castellón,Loss of control - Loss of directional control,,,No,39.5,-9.705
2025-10-08,Territorial sea,Portugal,Portugal - GAMA,2025/007745,Less Serious,41°29.2' N,9°1.1' W,No,16:10,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Container Ship,PORTUGAL - Leixoes,IRELAND - Dublin; Dublin,Damage / loss of equipment,,,No,41.486666666666665,-9.018333333333333
2025-01-11,Territorial sea,Portugal,Portugal - GAMA,2025/000191,Serious,40°36.8' N,8°46.9' W,No,05:10,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Fishing - Fishing,0.0,0.0,No routeing system,Arrival,No,,,Fishing vessel,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,40.61333333333333,-8.781666666666666
2024-06-17,Territorial sea,Portugal,Portugal - GAMA,2024/002703,Less Serious,38°41.5' N,9°43.31' W,,11:40,0.0,0.0,,Not Investigated,Yes,Portugal - Setúbal,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - Bulk Carrier,PORTUGAL - Lisboa,FRANCE - Rouen,Damage / loss of equipment,,,No,38.69166666666667,-9.721833333333333
2019-04-02,Territorial sea,Portugal,Portugal - GAMA,2019/003116,Less Serious,40°15.9' N,9°5' W,No,01:30,0.0,0.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,,,No,No,Ship - Deck - Boat deck,Fishing - Gutting/handling/stowing fish,0.0,0.0,No routeing system,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,40.265,-9.083333333333334
2018-08-22,Territorial sea,Portugal,Portugal - GAMA,2018/000080,Very serious,37°55.367' N,9°13.48' W,On person(s) - Injury,15:27,0.0,3.0,,Not Investigated,Yes,Portugal - Sines,,Loss of ship - Actual loss,Yes,No,No,Engine department - Auxiliary engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Recreational craft - Houseboat,PORTUGAL - Lagos,PORTUGAL - Oeiras,Flooding/Foundering - Flooding - Massive,,,No,37.922783333333335,-9.224666666666666
2018-08-22,Territorial sea,Portugal,Portugal - GAMA,2018/000080,Very serious,37°55.367' N,9°13.48' W,On person(s) - Injury,15:27,0.0,3.0,,Not Investigated,Yes,Portugal - Sines,,Loss of ship - Actual loss,Yes,No,No,Engine department - Auxiliary engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Recreational craft - Houseboat,PORTUGAL - Lagos,PORTUGAL - Oeiras,Fire/Explosion - Fire,,,No,37.922783333333335,-9.224666666666666
2018-08-22,Territorial sea,Portugal,Portugal - GAMA,2018/000080,Very serious,37°55.367' N,9°13.48' W,On person(s) - Injury,15:27,0.0,3.0,,Not Investigated,Yes,Portugal - Sines,,Loss of ship - Actual loss,Yes,No,No,Engine department - Auxiliary engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Recreational craft - Houseboat,PORTUGAL - Lagos,PORTUGAL - Oeiras,Flooding/Foundering - Foundering,,,No,37.922783333333335,-9.224666666666666
2024-07-11,Territorial sea,Portugal,Portugal - GAMA,2024/003103,Very serious,36°51.84' N,7°47.54' W,,23:49,0.0,0.0,,Finished,Yes,Portugal - Olhão,0.0,Loss of ship - Actual loss,Yes,No,No,Ship - Unknown,Fishing - Fishing,0.0,0.0,No routeing system,Transit,Unknown,,PRAIA DE MONTEGORDO,Fishing vessel - Multipurpose - Trawler-Purse seiner,SPAIN - Ayamonte,SPAIN - Ayamonte,Flooding/Foundering - Flooding - Massive,,,No,36.864,-7.792333333333334
2022-02-11,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/015061,Less Serious,37°23.23' N,9°49.19' W,Material damage - With operational consequences,08:37,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Ship - Deck - Main deck,Special service - Towing/pushing,0.0,0.0,No routeing system,Mid-water,No,,,Service ship,PORTUGAL - Setubal,SENEGAL - Dakar,Loss of control - Loss of containment,,,No,37.387166666666666,-9.819833333333333
2018-08-17,Territorial sea,Portugal,Portugal - GAMA,2018/003204,Less Serious,41°20.85' N,8°45.65' W,Material damage - Without operational consequences,04:00,0.0,0.0,,Not Investigated,Yes,Portugal - Vila do Conde,,Minor damage (less than material damage),No,No,No,Ship - Over side - Port - Below the waterline,Fishing - Fishing,0.0,0.0,No routeing system,Transit,No,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Vila do Conde,PORTUGAL - Vila do Conde,Contact - Floating object,,,No,41.3475,-8.760833333333334
2024-11-28,Territorial sea,Portugal,Portugal - GAMA,2025/002988,Marine incident,41°20' N,8°50' W,No,01:00,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Auxiliary engine room,Fishing - Fishing,0.0,0.0,No routeing system,Transit,No,,,Fishing vessel - Gillnetter,PORTUGAL - Vila do Conde,PORTUGAL - Vila do Conde,Damage / loss of equipment,,,No,41.333333333333336,-8.833333333333334
2024-03-27,Territorial sea,Portugal,Portugal - GAMA,2024/001348,Marine incident,38°29.31' N,9°35.66' W,No,05:44,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Liquid Cargo - Oil tanker - Crude oil,EGYPT - El Suweis (= Suez),RUSSIAN FEDERATION - Ust-Luga,Loss of control - Loss of propulsion power,,,No,38.4885,-9.594333333333333
2024-08-14,Territorial sea,Portugal,Portugal - GAMA,2024/003901,Serious,40°6.6' N,8°53.4' W,No,16:50,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Fishing - Gutting/handling/stowing fish,0.0,0.0,Pilotage area,Transit,No,,,Fishing vessel - Gillnetter,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,Loss of control - Loss of propulsion power,,,No,40.11,-8.89
2023-08-25,Territorial sea,Portugal,Portugal - GAMA,2023/005464,Marine incident,36°48.641' N,8°58.651' W,No,08:45,0.0,0.0,,Not Investigated,Yes,,0.0,No damage,No,No,No,Pump room - Pump room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,MOROCCO - Casablanca,PORTUGAL - Leixoes,Loss of control - Loss of propulsion power,,,No,36.81068333333333,-8.977516666666666
2018-09-14,Territorial sea,Portugal,Portugal - GAMA,2018/000882,Less Serious,40°7.7' N,8°55.71' W,No,03:30,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,No damage,No,,,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,,,,,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,40.12833333333333,-8.9285
2018-09-14,Territorial sea,Portugal,Portugal - GAMA,2018/000882,Less Serious,40°7.7' N,8°55.71' W,No,03:30,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,No damage,No,,,Ship - Deck - Boat deck,Fishing - Towing fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,No,40.12833333333333,-8.9285
2022-09-18,Territorial sea,Portugal,Portugal - GAMA,2022/018733,Serious,39°43.5' N,9°27.8' W,,09:00,0.0,0.0,,Not Investigated,Yes,Portugal - Nazaré,0.0,,No,No,No,Engine department - Steering gear room,Fishing - Towing fishing gear,0.0,0.0,Deep-water route,Unknown,,,,Fishing vessel,PORTUGAL - Nazare,PORTUGAL - Nazare,Loss of control - Loss of propulsion power,,,No,39.725,-9.463333333333333
2023-10-17,Territorial sea,Portugal,Portugal - GAMA,2023/005786,Less Serious,37°47.56' N,8°56.29' W,,16:24,0.0,0.0,,Not Investigated,Yes,,0.0,,No,No,No,Cargo and tank areas - Open deck cargo space,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,Yes,,,Cargo ship - Solid Cargo - General Cargo,Unknown,Unknown,Capsizing/Listing - Listing,,,No,37.79266666666667,-8.938166666666667
2023-08-16,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/004788,Marine incident,41°20.54' N,10°11.7' W,,19:32,0.0,1.0,,Not Investigated,Yes,Portugal - Vila do Conde,0.0,,No,No,No,Ship - Deck - Boat deck,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,,,,Fishing vessel,PORTUGAL - Vila do Conde,PORTUGAL - Vila do Conde,,Shock; fright; violence; aggression; threat; presence - Aggression; jostle - by animal,Accident,No,41.342333333333336,-10.195
2025-04-22,Territorial sea,Portugal,Portugal - GAMA,2025/002262,Less Serious,39°35.59' N,30°56.28' W,No,15:00,0.0,1.0,,Not Investigated,Yes,,0.0,,,No,No,Engine department - Other,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Service ship - Special purpose ship,PORTUGAL - Other,PORTUGAL - Horta,,Body movement under or with physical stress (generally leading to an internal injury) - Pushing; pulling,Accident,,39.59316666666667,-30.938
2024-10-25,Territorial sea,Portugal,Portugal - GAMA,2024/005168,Serious,36°48.7' N,8°50.2' W,No,21:30,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Fishing - Fishing,0.0,0.0,No routeing system,Transit,No,,,Fishing vessel,PORTUGAL - Portimao,PORTUGAL - Portimao,Damage / loss of equipment,,,No,36.81166666666667,-8.836666666666666
2023-08-15,Territorial sea,Portugal,Portugal - GAMA,2024/000870,Serious,37°5.11' N,8°26.33' W,No,18:18,0.0,1.0,,Not Investigated,Yes,Portugal - Portimão,0.0,Material damage - Affecting marine infrastructure or other ship,No,No,No,Ship - Stern,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,No,,,Inland waterway vessel - Recreational craft,PORTUGAL - Portimao,PORTUGAL - Portimao,Contact - Fixed object at sea,,,No,37.085166666666666,-8.438833333333333
2018-07-06,Territorial sea,Portugal,Portugal - GAMA,2697/2018,Very serious,40°57.12' N,9°20.78' W,No,03:30,1.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,Yes,Yes,Yes,Accommodation - Cabin space - crew,Fishing - Fishing,0.001,0.01,Unknown,Mid-water,Yes,,DRACO,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Flooding/Foundering - Flooding - Massive,,,No,40.952,-9.346333333333334
2021-12-24,Territorial sea,Portugal,Portugal - GAMA,2021/007148,Marine incident,38°54.803' N,9°45.619' W,No,13:48,0.0,0.0,,Not Investigated,Yes,Portugal - Lisboa,,No damage,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,In a traffic lane,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,GREECE - Piraeus,NETHERLANDS - Rotterdam,Loss of control - Loss of propulsion power,,,No,38.913383333333336,-9.760316666666666
2024-02-28,Territorial sea,Portugal,Portugal - GAMA,2024/000920,Serious,37°50.2' N,8°53.2' W,No,12:45,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - Container Ship,MALAYSIA - Tanjung Pelepas,PORTUGAL - Sines,Loss of control - Loss of containment,,,No,37.836666666666666,-8.886666666666667
2018-11-02,High sea - Within EEZ,Portugal,Portugal - GAMA,2018/0001950,Less Serious,39°15.6' N,9°57.1' W,No,05:52,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,,,,,,Ship - Deck - Boat deck,Normal service - In passage - Displacement mode,,,No routeing system,Transit,,,,Cargo ship - Liquid Cargo - Oil tanker - Product carrier,SPAIN - Tarragona,NETHERLANDS - Terneuzen,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,39.26,-9.951666666666666
2018-08-21,Territorial sea,Portugal,Portugal - GAMA,2018/003172,Less Serious,40°18.8' N,8°58.5' W,,01:17,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,,No,,,Ship - Deck - Main deck,Fishing - Fishing,,,No routeing system,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,40.31333333333333,-8.975
2025-03-13,Territorial sea,Portugal,Portugal - GAMA,2025/001294,Less Serious,38°58.21' N,9°46.17' W,No,15:31,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,MOROCCO - Jorf Lasfar,DENMARK - Skagen,Damage / loss of equipment,,,No,38.970166666666664,-9.7695
2025-03-13,Territorial sea,Portugal,Portugal - GAMA,2025/001294,Less Serious,38°58.21' N,9°46.17' W,No,15:31,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,MOROCCO - Jorf Lasfar,DENMARK - Skagen,Loss of control - Loss of propulsion power,,,No,38.970166666666664,-9.7695
2021-08-23,Territorial sea,Portugal,Portugal - GAMA,2022/008181,Very serious,37°46.17' N,25°48.83' W,No,14:27,1.0,0.0,,Finished,Yes,Portugal - Ponta Delgada,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Accommodation - Galley spaces,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,8799827.0,MARIA LEONTINA,Fishing vessel,PORTUGAL - Ponta Delgada,PORTUGAL - Ponta Delgada,Damage / loss of equipment,,,No,37.7695,-25.813833333333335
2022-10-20,Territorial sea,Portugal,Portugal - GAMA,2023/006129,Serious,36°53' N,9°17.17' W,No,11:00,0.0,0.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Sevilla,FRANCE - Montoir-de-Bretagne,Loss of control - Loss of propulsion power,,,No,36.88333333333333,-9.286166666666666
2021-04-15,High sea - Within EEZ,Portugal,Portugal - GAMA,2021/002537,Serious,40°42.54' N,9°44.49' W,No,21:00,0.0,0.0,,Not Investigated,Yes,Portugal - Aveiro,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,TURKEY - Iskenderun,UNITED KINGDOM - Felixstowe,Loss of control - Loss of propulsion power,,,No,40.709,-9.7415
2022-07-03,Territorial sea,Portugal,Portugal - GAMA,2022/017301,Serious,32°32.7' N,17°9.28' W,,08:00,0.0,1.0,,Not Investigated,Yes,Portugal - Funchal,0.0,No damage,,No,No,Ship - Deck - Open deck,Fishing - Fishing,0.0,0.0,,Transit,No,,,Fishing vessel,PORTUGAL - Funchal; Madeira,PORTUGAL - Funchal; Madeira,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,,32.545,-17.154666666666667
2023-07-28,High sea - Within EEZ,Portugal,Portugal - GAMA,2023/004414,Serious,39°9.11' N,9°42.62' W,,21:20,0.0,0.0,,Not Investigated,Yes,,0.0,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Deep-water route,Transit,,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Setubal,PORTUGAL - Viana do Castelo,Damage / loss of equipment,,,No,39.151833333333336,-9.710333333333333
2019-01-24,Territorial sea,Portugal,Portugal - GAMA,2019/001802,Less Serious,37°1.074' N,9°6.79' W,No,09:10,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Crossing TSS,Mid-water,,,,Cargo ship - Solid Cargo - Container Ship,SPAIN - Huelva,PORTUGAL - Setubal,Damage / loss of equipment,,,No,37.0179,-9.113166666666666
2019-05-09,Territorial sea,Portugal,Portugal - GAMA,2019/005006,Less Serious,37°5.95' N,8°40.3' W,No,12:00,0.0,0.0,,Not Investigated,Yes,Portugal - Lagos,,No damage,No,No,No,Ship - Keel,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,,,,Recreational craft - Sailboat (aux. motor),PORTUGAL - Lagos,PORTUGAL - Lagos,Grounding/stranding - Power,,,No,37.09916666666667,-8.671666666666667
2021-06-01,High sea - Within EEZ,Portugal,Portugal - GAMA,2021/005943,Serious,40°18.8' N,10°7.7' W,No,09:45,0.0,0.0,,Not Investigated,Yes,,,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - General Cargo,UNITED KINGDOM - Teignmouth,PORTUGAL - Lisboa,Loss of control - Loss of propulsion power,,,No,40.31333333333333,-10.128333333333334
2024-08-12,Territorial sea,Portugal,Portugal - GAMA,2024/003988,Serious,37°0.9' N,8°8.4' W,No,17:02,0.0,7.0,,Not Investigated,Yes,,0.0,Material damage - Affecting performance or operational characteristics of the ship,No,No,No,Engine department - Other,Normal service - In passage - Displacement mode,0.0,0.0,Pilotage area,Transit,No,,,Recreational craft - Motorboat,PORTUGAL - Other,PORTUGAL - Other,Loss of control - Loss of directional control,,,No,37.015,-8.14
2022-02-16,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/018825,Very serious,37°29.5' N,30°13.3' W,Material damage - With operational consequences,10:47,0.0,0.0,,Finished,Yes,,0.0,Loss of ship - Actual loss,Yes,Unknown,Yes,Cargo and tank areas - Cargo hold,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,GERMANY - Memmert,UNITED STATES - US - Davisville,Flooding/Foundering - Flooding - Progressive,,,No,37.49166666666667,-30.221666666666668
2022-02-16,High sea - Within EEZ,Portugal,Portugal - GAMA,2022/018825,Very serious,37°29.5' N,30°13.3' W,Material damage - With operational consequences,10:47,0.0,0.0,,Finished,Yes,,0.0,Loss of ship - Actual loss,Yes,Unknown,Yes,Cargo and tank areas - Cargo hold,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,Yes,,,Cargo ship - Solid Cargo - Ro-Ro Cargo,GERMANY - Memmert,UNITED STATES - US - Davisville,Fire/Explosion - Fire,,,No,37.49166666666667,-30.221666666666668
2024-08-03,High sea - Within EEZ,Portugal,Portugal - GAMA,2024/003790,Marine incident,37°29.44' N,9°42.1' W,No,06:40,0.0,0.0,,Not Investigated,Yes,,0.0,Minor damage (less than material damage),No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,SPAIN - Barcelona,NETHERLANDS - Moerdijk,Damage / loss of equipment,,,No,37.49066666666667,-9.701666666666666
2021-12-24,Territorial sea,Portugal,Portugal - GAMA,2021/007147,Marine incident,40°53.8' N,8°54.2' W,No,11:06,0.0,0.0,,Not Investigated,Yes,Portugal - Aveiro,,No damage,No,No,No,Engine department - Compressor room,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Departure,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Aveiro,SPAIN - Ferrol,Loss of control - Loss of propulsion power,,,No,40.89666666666667,-8.903333333333334
