Date of occurrence,Sea area of occurrence,State Reporting,Competent authority,Casualty Report Nr.,Occurrence severity,Latitude,Longitude,Third party/other damage,Time (LT) of occurrence,Lives lost Occurrence-Total,People Injured Occurrence-Total,Port of accident,Investigation Status,Directive 2009/18,National location,Missing people Occurrence - Total,Loss / damage to ship or equipment,Did the ship sink?,Pollution (bunkers),Pollution (cargo),Place on board,Ship operation,Poll. quantity/bunker,Poll. quantity/cargo,Ship’s routeing,Voyage segment,Cargo damage,IMO number,Name of ship,Ship / craft type,Port of departure,Port of destination,Occurrence with ship(s),Deviation (CE),Occurrence with person(s),Release of pollutants in the air,Lat,Lon,Lat_original,Lon_original,Teatro_Maritimo
2016-05-27,Territorial sea,Portugal,Portugal - GAMA,2298/2016,Very serious,41°2.02' N,8°54.85' W,No,01:00,1.0,0.0,,Finished,Yes,Portugal - Leixões,,No damage,,,,Ship - Deck - Boat deck,Fishing - Towing fishing gear,,,No routeing system,Mid-water,No,,ROMILDA PAULA,Fishing vessel - Liner,PORTUGAL - Matosinhos,PORTUGAL - Matosinhos,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,41.03366666666667,-8.914166666666667,41.03366666666667,-8.914166666666667,Continente
2016-01-15,Territorial sea,Portugal,Portugal - GAMA,1238/2016,Serious,38°8.17' N,8°47.52' W,No,01:40,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage,No,No,No,,Fishing - Fishing,0.0,0.0,Unknown,Transit,No,,,Fishing vessel - Liner,PORTUGAL - Setubal,PORTUGAL - Setubal,Grounding/stranding - Drift,,,No,38.03108277409407,-8.970126132613723,38.13616666666667,-8.792,Continente
2016-01-15,Territorial sea,Portugal,Portugal - GAMA,1238/2016,Serious,38°8.17' N,8°47.52' W,No,01:40,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage,No,No,No,,Fishing - Fishing,0.0,0.0,No routeing system,Transit,No,,,Fishing vessel - Liner,PORTUGAL - Setubal,PORTUGAL - Setubal,Grounding/stranding - Drift,,,No,38.03108277409407,-8.970126132613723,38.13616666666667,-8.792,Continente
2017-03-02,Territorial sea,Portugal,Portugal - GAMA,1101/2017,Less Serious,40°10' N,9°0' W,No,17:16,0.0,1.0,,Not Investigated,Yes,Portugal - Figueira da Foz,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,Unknown,Mid-water,,,,Fishing vessel - Gillnetter,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,,40.166666666666664,-9.0,40.166666666666664,-9.0,Continente
2014-03-25,Territorial sea,Portugal,Portugal - GAMA,879/2014,Serious,40°38.43' N,8°47.3' W,No,09:15,0.0,0.0,PORTUGAL - Aveiro,Not Investigated,Yes,Portugal - Aveiro,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - Under pilotage,0.0,0.0,Recommended route,Arrival,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Ceuta,PORTUGAL - Aveiro,Loss of control - Loss of directional control,,,,40.6405,-8.788333333333334,40.6405,-8.788333333333334,Continente
2016-08-18,Territorial sea,Portugal,Portugal - GAMA,3466/2016,Less Serious,39°19.854' N,9°24.876' W,No,19:00,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,0.0,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,Unknown,Mid-water,,,,Fishing vessel - Liner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Slipping - Stumbling and falling - Fall of persons - Slipping - Stumbling and falling - Fall of person - on the same level,Accident,,39.3309,-9.4146,39.3309,-9.4146,Continente
2017-07-13,Territorial sea,Portugal,Portugal - GAMA,2919/2017,Less Serious,39°20.47' N,9°24.22' W,No,14:49,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,39.34208815245743,-9.444509494153161,39.341166666666666,-9.403666666666666,Continente
2014-04-08,Territorial sea,Portugal,Portugal - GAMA,987/2014,Very serious,36°58.177' N,7°51.976' W,No,03:00,0.0,0.0,PORTUGAL - Olhao,Not Investigated,Yes,Portugal - Olhão,,Material damage,Yes,Yes,,,Normal service - In passage - Displacement mode,1.5,,No routeing system,Transit,,,,Fishing vessel - Trawler - Stern,SPAIN - Isla Cristina,PORTUGAL - Quarteira,Contact - Shore object,,,No,36.96961666666667,-7.866266666666666,36.96961666666667,-7.866266666666666,Continente
2013-01-19,Territorial sea,Portugal,Portugal - GAMA,900/2013,Serious,40°43.32' N,8°43.81' W,No,08:30,0.0,0.0,,Finished,Yes,Portugal - Aveiro,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Displacement mode,0.0,0.0,No routeing system,Transit,Unknown,8918306.0,MERLE,Cargo ship - Solid Cargo - General Cargo,SPAIN - Vivero,SPAIN - Huelva,Grounding/stranding - Drift,,,No,40.7199218934615,-8.78152046160008,40.722,-8.730166666666667,Continente
2013-01-16,Territorial sea,Portugal,Portugal - GAMA,806/2014,Very serious,40°0' N,9°0' W,No,13:25,1.0,0.0,,Finished,Yes,Portugal - Figueira da Foz,,Material damage,No,No,No,Ship - Deck - Poop deck,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,Yes,,NEPTUNO,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Figueira da Foz,Damage / loss of equipment,,,No,40.0,-9.0,40.0,-9.0,Continente
2016-05-18,Territorial sea,Portugal,Portugal - GAMA,2291/2016,Less Serious,40°37.618' N,8°47.542' W,No,04:20,0.0,1.0,,Not Investigated,Yes,Portugal - Aveiro,,,,,,Ship - Deck - Boat deck,Fishing - Fishing,,,Unknown,Unknown,,,,Fishing vessel - Liner,PORTUGAL - Aveiro,PORTUGAL - Aveiro,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of means of transport or handling equipment; (motorised or not),Accident,,40.62696666666667,-8.792366666666666,40.62696666666667,-8.792366666666666,Continente
2015-12-03,Territorial sea,Portugal,Portugal - GAMA,2024/001349,Very serious,41°44.03' N,9°0.15' W,No,07:38,1.0,0.0,,Finished,Yes,Portugal - Viana do Castelo,,No damage,No,,,Ship - Deck - Boat deck,Fishing - Fishing,,,No routeing system,Mid-water,No,,VASQUES CALAFATE,Fishing vessel - Gillnetter,PORTUGAL - Viana do Castelo,PORTUGAL - Viana do Castelo,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,41.73383333333334,-9.0025,41.73383333333334,-9.0025,Continente
2013-03-28,High sea,Portugal,Portugal - GAMA,1386/2013,Less Serious,41°9.974' N,9°7.718' W,No,19:55,0.0,0.0,,Not Investigated,Yes,Portugal,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,SPAIN - Garrucha,NETHERLANDS - Rotterdam,Loss of control - Loss of propulsion power,,,No,41.16623333333333,-9.128633333333333,41.16623333333333,-9.128633333333333,Continente
2016-04-04,Territorial sea,Portugal,Portugal - GAMA,2024/001362,Very serious,37°17.44' N,8°52.36' W,No,11:00,0.0,0.0,,Finished,Yes,Portugal - Portimão,,Material damage,No,No,No,Ship - Over side,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,AVÔ MELRO,Fishing vessel - Gillnetter,Unknown,Unknown,Grounding/stranding,,,No,37.297654561655804,-8.980431921010089,37.29066666666667,-8.872666666666667,Continente
2016-03-13,High sea - Within EEZ,Portugal,Portugal - GAMA,1188/2016,Serious,36°58.02' N,11°27.03' W,No,14:00,0.0,0.0,,Not Investigated,Yes,,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Mid-water,No,,,Cargo ship - Solid Cargo - Container Ship,PORTUGAL - Lisboa,PORTUGAL - Caniçal; Madeira,Loss of control - Loss of propulsion power,,,No,36.967,-11.4505,36.967,-11.4505,Continente
2013-05-28,Territorial sea,Portugal,Portugal - GAMA,1451/2013,Serious,38°33.556' N,28°26.891' W,No,14:00,0.0,1.0,PORTUGAL - Vila do Porto,Not Investigated,Yes,Portugal,,,,,,Ship - Stairs/ladders,Fishing - Fishing,,,,Mid-water,,,,Fishing vessel - Multipurpose - Other multipurpose,PORTUGAL - Vila do Porto,PORTUGAL - Vila do Porto,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,38.559266666666666,-28.448183333333333,38.559266666666666,-28.448183333333333,Açores
2017-12-06,Territorial sea,Portugal,Portugal - GAMA,4764/2017,Less Serious,37°43.22' N,9°9.35' W,No,22:04,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage,No,No,No,Ship - Over side,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Arrival,No,,,Fishing vessel - Gillnetter,PORTUGAL - Sines,PORTUGAL - Sines,Collision - With other ship,,,No,37.720333333333336,-9.155833333333334,37.720333333333336,-9.155833333333334,Continente
2017-12-06,Territorial sea,Portugal,Portugal - GAMA,4764/2017,Less Serious,37°43.22' N,9°9.35' W,No,22:04,0.0,0.0,,Not Investigated,Yes,Portugal - Sines,,Material damage,No,No,No,Ship - Over side,Sailing - Beam reaching,0.0,0.0,No routeing system,Transit,No,,,Recreational craft - Sailboat (sail only),PORTUGAL - Cascais,,Collision - With other ship,,,No,37.720333333333336,-9.155833333333334,37.720333333333336,-9.155833333333334,Continente
2013-10-31,Territorial sea,Portugal,Portugal - GAMA,48/2014,Serious,41°5.081' N,8°46.442' W,No,08:00,0.0,0.0,PORTUGAL - Matosinhos,Not Investigated,Yes,Portugal,,No damage,No,No,No,Engine department - Engine room,Fishing - Shooting/hauling fishing gear,0.0,0.0,No routeing system,Mid-water,Unknown,,,Fishing vessel - Trawler - Stern,PORTUGAL - Matosinhos,PORTUGAL - Matosinhos,Loss of control - Loss of propulsion power,,,Unknown,41.08468333333333,-8.774033333333334,41.08468333333333,-8.774033333333334,Continente
2017-03-29,High sea - Within EEZ,Portugal,Portugal - GAMA,1695/2017,Serious,37°30.01' N,9°47.07' W,No,11:00,0.0,0.0,,Not Investigated,Yes,,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,Recommended route,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Figueira da Foz,ITALY - Livorno (Leghorn),Loss of control - Loss of propulsion power,,,No,37.500166666666665,-9.7845,37.500166666666665,-9.7845,Continente
2013-06-05,Territorial sea,Portugal,Portugal - GAMA,1490/2013,Less Serious,40°46.8' N,9°11.7' W,No,04:45,0.0,0.0,,Not Investigated,Yes,Portugal,,Material damage,No,No,No,Ship - Over side,Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Aveiro,PORTUGAL - Aveiro,Collision - With other ship,,,No,40.78,-9.195,40.78,-9.195,Continente
2013-06-05,Territorial sea,Portugal,Portugal - GAMA,1490/2013,Less Serious,40°46.8' N,9°11.7' W,No,04:45,0.0,0.0,,Not Investigated,Yes,Portugal,,Material damage,No,No,No,Ship - Over side,Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Leixoes,PORTUGAL - Leixoes,Collision - With other ship,,,No,40.78,-9.195,40.78,-9.195,Continente
2017-09-01,Territorial sea,Portugal,Portugal - GAMA,3956/2017,Less Serious,39°21.53' N,9°33.26' W,No,15:30,0.0,1.0,,Not Investigated,Yes,Portugal - Peniche,,,,,,Ship - Deck - Boat deck,Fishing - Shooting/hauling fishing gear,,,No routeing system,Mid-water,,,,Fishing vessel - Seiner - Purse seiner,PORTUGAL - Peniche,PORTUGAL - Peniche,,Body movement without any physical stress (generally leading to an external injury) - Being caught or carried away; by something or by momentum,Accident,,39.35883333333334,-9.554333333333334,39.35883333333334,-9.554333333333334,Continente
2017-08-15,Territorial sea,Portugal,Portugal - GAMA,3280/2017,Very serious,37°5.53' N,8°28.57' W,No,18:45,1.0,0.0,,Finished,Yes,Portugal - Portimão,,No damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Transitional mode,0.0,0.0,No routeing system,Mid-water,No,,Roisin Alvor,Recreational craft - Motorboat,PORTUGAL - Portimao,PORTUGAL - Portimao,Loss of control - Loss of directional control,,,No,37.05915477531746,-8.476077366278096,37.092166666666664,-8.476166666666666,Continente
2013-08-13,Territorial sea,Portugal,Portugal - GAMA,1562/2013,Less Serious,41°38.833' N,8°51.628' W,No,08:38,0.0,1.0,PORTUGAL - Viana do Castelo,Not Investigated,Yes,Portugal,,,,,,Ship - Deck - Poop deck,Fishing - Shooting/hauling fishing gear,,,,Mid-water,,,,Fishing vessel - Seiner - Other seiner,PORTUGAL - Figueira da Foz,PORTUGAL - Figueira da Foz,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of machine (including unwanted start-up) or of the material being worked by the machine,Accident,,41.647216666666665,-8.860466666666667,41.647216666666665,-8.860466666666667,Continente
2017-02-08,Territorial sea,Portugal,Portugal - GAMA,942/2017,Less Serious,39°26.514' N,9°21.473' W,No,12:50,0.0,1.0,,Not Investigated,Yes,,,,,,,Accommodation - Alleyway,Fishing - Towing fishing gear,,,Unknown,Mid-water,,,,Fishing vessel - Trawler - Stern,PORTUGAL - Peniche,PORTUGAL - Peniche,,Slipping - Stumbling and falling - Fall of persons - Fall of person - to a lower level,Accident,,39.4419,-9.357883333333334,39.4419,-9.357883333333334,Continente
2015-10-27,Territorial sea,Portugal,Portugal - GAMA,3631/2015,Less Serious,32°43.635' N,16°39.217' W,No,11:45,0.0,0.0,,Not Investigated,Yes,Portugal - Porto Santo,,Material damage,No,No,No,Ship - Propeller/rudder/thruster,Normal service - In passage - Transitional mode,0.0,0.0,Inshore traffic zone,Transit,No,,,Service ship - Tug (Towing/Pushing),PORTUGAL - Porto Santo Island Apt,PORTUGAL - Caniçal; Madeira,Contact - Shore object,,,No,32.72725,-16.653616666666668,32.72725,-16.653616666666668,Madeira
2013-12-24,Territorial sea,Portugal,Portugal - GAMA,87/2014,Very serious,38°36.07' N,9°24.03' W,No,15:45,1.0,4.0,,Finished,Yes,Portugal - Lisboa,,,,,,Ship - Deck - Freeboard deck,Normal service - In passage,,,Recommended route,Unknown,,9500077.0,SAFMARINE LONGA,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Lisboa,SENEGAL - Dakar,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,38.601166666666664,-9.4005,38.601166666666664,-9.4005,Continente
2017-03-29,High sea - Within EEZ,Portugal,Portugal - GAMA,1699/2017,Less Serious,38°14.75' N,9°27.74' W,No,20:30,0.0,0.0,,Not Investigated,Yes,,,Material damage,No,No,No,Engine department - Engine room,Normal service - In passage - Transitional mode,0.0,0.0,Recommended route,Transit,No,,,Cargo ship - Solid Cargo - General Cargo,PORTUGAL - Setubal,SPAIN - A Coruña,Loss of control - Loss of propulsion power,,,No,38.24583333333333,-9.462333333333333,38.24583333333333,-9.462333333333333,Continente
2013-11-15,Territorial sea,Portugal,Portugal - GAMA,52/2014,Serious,38°48.49' N,27°6.07' W,No,16:50,0.0,0.0,PORTUGAL - Praia da Vitoria,Not Investigated,Yes,Portugal,,,No,No,No,Engine department - Engine room,Normal service - In passage - Displacement mode,0.0,0.0,Two-way route,Transit,No,,,Passenger ship - Passenger and Ro-Ro cargo - Domestic - Class A,PORTUGAL - Santa Cruz da Graciosa,PORTUGAL - Praia da Vitoria,Contact - Floating object - Other,,,Unknown,38.808166666666665,-27.101166666666668,38.808166666666665,-27.101166666666668,Açores
2013-04-12,Territorial sea,Portugal,Portugal - GAMA,1455/2013,Less Serious,40°37' N,8°46' W,No,06:55,0.0,1.0,,Not Investigated,Yes,Portugal,,,,,,Ship - Deck - Poop deck,Fishing - Shooting/hauling fishing gear,,,,Mid-water,,,,Fishing vessel - Potter,PORTUGAL - Aveiro,PORTUGAL - Aveiro,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of object (being carried; moved; handled; etc.),Accident,,40.61666666666667,-8.766666666666667,40.61666666666667,-8.766666666666667,Continente
2017-11-20,High sea - Within EEZ,Portugal,Portugal - GAMA,4552/2017,Very serious,40°31.5' N,9°4.75' W,No,13:30,1.0,0.0,,Finished,Yes,,,,,,,Ship - Deck - Freeboard deck,Fishing - Shooting/hauling fishing gear,,,Recommended route,Mid-water,,,SÉRGIO SORAIA,Fishing vessel - Gillnetter,PORTUGAL - Aveiro,PORTUGAL - Aveiro,,Slipping - Stumbling and falling - Fall of persons - Fall overboard of person,Accident,,40.525,-9.079166666666667,40.525,-9.079166666666667,Continente
2017-02-13,Territorial sea,Portugal,Portugal - GAMA,1413/2017,Serious,36°45.25' N,7°56.57' W,No,06:00,0.0,0.0,,Not Investigated,Yes,Portugal - Olhão,,Material damage,No,No,No,Cargo and tank areas - Other,Fishing - Towing fishing gear,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Olhao,PORTUGAL - Olhao,Flooding/Foundering - Flooding - Progressive,,,No,36.75416666666667,-7.942833333333334,36.75416666666667,-7.942833333333334,Continente
2017-02-13,Territorial sea,Portugal,Portugal - GAMA,1413/2017,Serious,36°45.25' N,7°56.57' W,No,06:00,0.0,0.0,,Not Investigated,Yes,Portugal - Olhão,,Material damage,No,No,No,Engine department - Engine room,Fishing - Towing fishing gear,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Trawler - Stern,PORTUGAL - Olhao,PORTUGAL - Olhao,Flooding/Foundering - Flooding - Progressive,,,No,36.75416666666667,-7.942833333333334,36.75416666666667,-7.942833333333334,Continente
2017-06-16,High sea - Within EEZ,Portugal,Portugal - GAMA,3180/2017,Serious,31°38.38' N,17°16.12' W,No,03:21,0.0,0.0,,Not Investigated,Yes,Portugal - Funchal,,Material damage,No,No,No,Pump room - Pump room,Fishing - Fishing,0.0,0.0,No routeing system,Mid-water,No,,,Fishing vessel - Liner,PORTUGAL - Caniçal; Madeira,PORTUGAL - Caniçal; Madeira,Flooding/Foundering - Flooding - Progressive,,,No,31.639666666666667,-17.268666666666668,31.639666666666667,-17.268666666666668,Madeira
2017-08-07,Territorial sea,Portugal,Portugal - GAMA,3188/2017,Serious,39°19.08' N,10°30.3' W,No,19:00,0.0,0.0,,Not Investigated,Yes,Portugal - Peniche,,Material damage,No,No,No,Engine department - Engine room,Special service - Towing/pushing,0.0,0.0,No routeing system,Transit,No,,,Service ship - Tug (Towing/Pushing),PORTUGAL - Figueira da Foz,PORTUGAL - Aveiro,Loss of control - Loss of propulsion power,,,No,39.318,-10.505,39.318,-10.505,Continente
2017-08-07,Territorial sea,Portugal,Portugal - GAMA,3188/2017,Serious,39°19.08' N,10°30.3' W,No,19:00,0.0,0.0,,Not Investigated,Yes,Portugal - Peniche,,Material damage,No,No,No,Engine department - Engine room,Special service - Towing/pushing,0.0,0.0,No routeing system,Transit,No,,,Service ship - Tug (Towing/Pushing),PORTUGAL - Figueira da Foz,PORTUGAL - Aveiro,Fire/Explosion - Fire,,,No,39.318,-10.505,39.318,-10.505,Continente
2017-01-02,High sea - Within EEZ,Portugal,Portugal - GAMA,387/2017,Less Serious,39°0' N,9°0' W,No,21:10,0.0,2.0,,Not Investigated,Yes,Portugal - Sines,,,,,,Ship - Unknown,Normal service - In passage - Transitional mode,,,No routeing system,Transit,,,,Cargo ship - Liquid Cargo - Chemical tanker,Unknown,MOROCCO - Mohammedia,,No information,Accident,,39.07131955980188,-9.487213033029512,39.0,-9.0,Continente
2018-04-13,Territorial sea,Portugal,Portugal - GAMA,1360/2018,Less Serious,32°38.54' N,16°53.9' W,No,06:30,0.0,1.0,,Not Investigated,Yes,Portugal - Funchal,,,,,,Ship - Deck - Boat deck,Sailing - Head to wind,,,No routeing system,Departure,,,,Passenger ship - Only passenger - International,PORTUGAL - Funchal; Madeira,PORTUGAL - Funchal; Madeira,,Body movement under or with physical stress (generally leading to an internal injury) - Pushing; pulling,Accident,,32.64233333333333,-16.898333333333333,32.64233333333333,-16.898333333333333,Madeira
2016-09-01,Territorial sea,Portugal,Portugal - GAMA,3473/2016,Serious,37°0.192' N,8°56.905' W,No,23:40,0.0,0.0,,Not Investigated,Yes,Portugal - Lagos,,Material damage,No,No,No,Ship - Over side,Normal service - In passage - Transitional mode,0.0,0.0,Unknown,Mid-water,No,,,Fishing vessel - Gillnetter,PORTUGAL - Sagres,PORTUGAL - Portimao,Grounding/stranding - Power,,,No,37.0032,-8.948416666666667,37.0032,-8.948416666666667,Continente
2013-09-02,Territorial sea,Portugal,Portugal - GAMA,1580/2013,Less Serious,41°23' N,8°49' W,No,10:25,0.0,1.0,PORTUGAL - Vila do Conde,Not Investigated,Yes,Portugal,,,,,,Ship - Deck - Poop deck,Fishing - Shooting/hauling fishing gear,,,,Mid-water,,,,Fishing vessel - Multipurpose - Seiner-Handliner,PORTUGAL - Leixoes,PORTUGAL - Leixoes,,Loss of control (total or partial) of machine; means of transport or handling equipment; handheld tool; object; animal - Loss of control (total or partial) - of object (being carried; moved; handled; etc.),Accident,,41.38333333333333,-8.816666666666666,41.38333333333333,-8.816666666666666,Continente
